266:351 0:266:351:3:3 
603:474 0:603:474:3:3 
507:481 2:507:481:2:2 
110:190 0:110:190:3:3 
313:152 0:313:152:3:3 
238:78 3:238:78:3:3 
280:335 0:280:335:3:3 
191:155 0:191:155:3:3 
284:367 2:284:367:2:2 
644:368 2:644:368:2:2 
532:197 0:532:197:3:3 
492:394 0:492:394:3:3 
521:300 0:521:300:3:3 
189:422 0:189:422:3:3 
247:400 2:247:400:2:2 
637:225 0:637:225:3:3 
640:366 0:640:366:3:3 
380:311 2:380:311:2:2 
293:344 0:293:344:3:3 
724:18 0:724:18:3:3 
688:167 2:688:167:2:2 
107:52 0:107:52:3:3 
288:72 3:288:72:3:3 
380:422 0:380:422:3:3 
235:251 0:235:251:3:3 
365:182 0:365:182:3:3 
213:114 0:213:114:3:3 
757:183 2:757:183:2:2 
308:211 2:308:211:2:2 
265:328 3:265:328:3:3 
181:75 2:181:75:2:2 
86:240 0:86:240:3:3 
839:466 2:839:466:2:2 
307:197 0:307:197:3:3 
491:352 0:491:352:3:3 
734:211 2:734:211:2:2 
682:27 0:682:27:3:3 
900:86 2:900:86:2:2 
478:126 0:478:126:3:3 
740:277 2:740:277:2:2 
856:298 0:856:298:3:3 
375:274 0:375:274:3:3 
198:361 2:198:361:2:2 
705:91 0:705:91:3:3 
668:73 0:668:73:3:3 
706:308 2:706:308:2:2 
800:177 0:800:177:3:3 
340:234 2:340:234:2:2 
621:167 0:621:167:3:3 
127:290 0:127:290:3:3 
457:306 2:457:306:2:2 
790:476 3:790:476:3:3 
785:185 2:785:185:2:2 
350:455 2:350:455:2:2 
771:74 0:771:74:3:3 
705:244 2:705:244:2:2 
192:33 0:192:33:3:3 
712:205 3:712:205:3:3 
84:247 2:84:247:2:2 
467:233 2:467:233:2:2 
505:30 0:505:30:3:3 
583:239 0:583:239:3:3 
306:25 2:306:25:2:2 
363:72 0:363:72:3:3 
400:222 2:400:222:2:2 
573:53 0:573:53:3:3 
131:94 0:131:94:3:3 
497:65 2:497:65:2:2 
387:488 0:387:488:3:3 
83:313 0:83:313:3:3 
374:328 2:374:328:2:2 
710:246 0:710:246:3:3 
164:30 2:164:30:2:2 
333:350 2:333:350:2:2 
130:410 0:130:410:3:3 
477:113 0:477:113:3:3 
225:24 2:225:24:2:2 
582:60 0:582:60:3:3 
529:192 2:529:192:2:2 
178:430 0:178:430:3:3 
554:238 2:554:238:2:2 
842:153 0:842:153:3:3 
538:190 2:538:190:2:2 
463:435 2:463:435:2:2 
619:57 0:619:57:3:3 
585:249 2:585:249:2:2 
178:257 0:178:257:3:3 
396:328 0:396:328:3:3 
477:275 2:477:275:2:2 
852:321 0:852:321:3:3 
874:153 0:874:153:3:3 
837:19 0:837:19:3:3 
643:369 2:643:369:2:2 
699:478 2:699:478:2:2 
569:309 2:569:309:2:2 
3:455 2:3:455:2:2 
405:103 0:405:103:3:3 
172:438 2:172:438:2:2 
615:98 2:615:98:2:2 
138:354 0:138:354:3:3 
466:151 2:466:151:2:2 
583:284 2:583:284:2:2 
641:345 0:641:345:3:3 
660:483 2:660:483:2:2 
807:55 2:807:55:2:2 
462:411 0:462:411:3:3 
524:178 0:524:178:3:3 
579:201 3:579:201:3:3 
732:13 2:732:13:2:2 
418:69 0:418:69:3:3 
300:417 0:300:417:3:3 
484:198 2:484:198:2:2 
671:178 0:671:178:3:3 
558:241 2:558:241:2:2 
718:327 2:718:327:2:2 
148:29 0:148:29:3:3 
404:391 0:404:391:3:3 
280:141 0:280:141:3:3 
745:63 0:745:63:3:3 
798:51 2:798:51:2:2 
855:422 2:855:422:2:2 
241:328 0:241:328:3:3 
884:406 0:884:406:3:3 
509:218 2:509:218:2:2 
394:268 0:394:268:3:3 
15:348 2:15:348:2:2 
570:165 0:570:165:3:3 
114:41 0:114:41:3:3 
123:439 2:123:439:2:2 
741:156 2:741:156:2:2 
190:146 2:190:146:2:2 
527:305 0:527:305:3:3 
52:215 0:52:215:3:3 
192:415 0:192:415:3:3 
593:413 0:593:413:3:3 
389:152 0:389:152:3:3 
308:382 2:308:382:2:2 
356:333 0:356:333:3:3 
782:353 3:782:353:3:3 
342:168 0:342:168:3:3 
659:214 0:659:214:3:3 
892:218 0:892:218:3:3 
777:39 2:777:39:2:2 
616:89 0:616:89:3:3 
737:82 0:737:82:3:3 
565:128 0:565:128:3:3 
859:495 0:859:495:3:3 
402:164 0:402:164:3:3 
5:473 2:5:473:2:2 
668:143 2:668:143:2:2 
725:458 0:725:458:3:3 
446:293 2:446:293:2:2 
194:258 3:194:258:3:3 
213:38 0:213:38:3:3 
786:62 2:786:62:2:2 
554:34 2:554:34:2:2 
166:164 2:166:164:2:2 
170:299 0:170:299:3:3 
354:92 0:354:92:3:3 
592:6 2:592:6:2:2 
467:423 0:467:423:3:3 
875:482 2:875:482:2:2 
752:386 3:752:386:3:3 
681:189 0:681:189:3:3 
95:215 0:95:215:3:3 
758:445 0:758:445:3:3 
226:2 2:226:2:2:2 
64:169 0:64:169:3:3 
65:384 2:65:384:2:2 
877:42 2:877:42:2:2 
98:456 0:98:456:3:3 
562:379 0:562:379:3:3 
448:167 3:448:167:3:3 
549:79 2:549:79:2:2 
511:244 2:511:244:2:2 
